,id,Code,Temp
217,4.0,AFG,-0.8390000000000001
92,8.0,ALB,-0.7490000000000001
203,10.0,ATA,
116,12.0,DZA,-0.78
138,20.0,AND,-0.743
18,24.0,AGO,
181,28.0,ATG,-0.977
54,31.0,AZE,
91,32.0,ARG,
36,36.0,AUS,-0.551
41,40.0,AUT,-0.6890000000000001
201,44.0,BHS,-0.626
183,48.0,BHR,-0.5770000000000001
176,50.0,BGD,-0.9890000000000001
189,51.0,ARM,
126,52.0,BRB,-0.997
57,56.0,BEL,-0.716
121,64.0,BTN,-0.98
68,68.0,BOL,
40,70.0,BIH,-0.735
123,72.0,BWA,
5,76.0,BRA,
156,84.0,BLZ,-0.799
79,90.0,SLB,
75,100.0,BGR,-0.856
135,104.0,MMR,-0.86
89,108.0,BDI,
169,112.0,BLR,-1.002
2,116.0,KHM,-1.024
131,120.0,CMR,
30,124.0,CAN,-0.825
166,132.0,CPV,-0.909
13,140.0,CAF,
204,144.0,LKA,-0.934
117,148.0,TCD,
145,152.0,CHL,
3,156.0,CHN,-0.875
225,170.0,COL,
216,174.0,COM,
94,178.0,COG,-0.821
210,180.0,COD,-0.853
192,188.0,CRI,
140,191.0,HRV,-0.6990000000000001
50,192.0,CUB,-0.728
173,196.0,CYP,
149,203.0,CZE,-0.807
160,204.0,BEN,
90,208.0,DNK,-0.8440000000000001
174,212.0,DMA,-1.001
170,214.0,DOM,-0.922
96,218.0,ECU,
86,222.0,SLV,
9,226.0,GNQ,
177,231.0,ETH,
77,232.0,ERI,
158,233.0,EST,-1.197
66,242.0,FJI,
48,246.0,FIN,-1.114
34,250.0,FRA,-0.736
163,262.0,DJI,
141,266.0,GAB,
93,268.0,GEO,
4,270.0,GMB,-0.892
63,276.0,DEU,-0.72
15,288.0,GHA,
108,296.0,KIR,
74,300.0,GRC,-0.804
88,304.0,GRL,-0.777
76,308.0,GRD,-0.9990000000000001
191,320.0,GTM,-0.846
214,324.0,GIN,-1.012
70,328.0,GUY,-0.9359999999999999
118,332.0,HTI,-0.9109999999999999
200,340.0,HND,-0.856
107,348.0,HUN,-0.8390000000000001
171,352.0,ISL,-0.7659999999999999
31,356.0,IND,-0.9590000000000001
147,360.0,IDN,-1.001
190,364.0,IRN,-0.741
84,368.0,IRQ,-0.6629999999999999
83,372.0,IRL,-0.696
46,376.0,ISR,
87,380.0,ITA,-0.655
110,384.0,CIV,-0.977
196,388.0,JAM,-0.8370000000000001
114,392.0,JPN,-0.7929999999999999
130,398.0,KAZ,
37,400.0,JOR,
206,404.0,KEN,
153,408.0,PRK,-0.762
207,410.0,KOR,-0.8440000000000001
178,414.0,KWT,-0.574
25,417.0,KGZ,-1.147
193,418.0,LAO,-0.971
188,422.0,LBN,
215,426.0,LSO,
99,428.0,LVA,-1.117
197,430.0,LBR,-1.011
72,434.0,LBY,
164,438.0,LIE,-0.6559999999999999
136,440.0,LTU,-1.026
212,442.0,LUX,-0.6940000000000001
120,450.0,MDG,
82,454.0,MWI,
52,458.0,MYS,-1.104
103,466.0,MLI,-0.941
106,470.0,MLT,-0.604
187,478.0,MRT,-0.89
167,480.0,MUS,
221,484.0,MEX,-0.62
218,492.0,MCO,-0.758
129,496.0,MNG,
134,498.0,MDA,-0.9590000000000001
21,499.0,MNE,-0.773
14,504.0,MAR,-0.8140000000000001
97,508.0,MOZ,
17,512.0,OMN,-0.684
179,516.0,NAM,
224,524.0,NPL,-1.036
157,528.0,NLD,-0.745
223,554.0,NZL,-0.6859999999999999
53,558.0,NIC,-0.895
56,562.0,NER,
182,566.0,NGA,
69,578.0,NOR,-0.828
113,583.0,FSM,
12,585.0,PLW,
101,586.0,PAK,-0.87
219,591.0,PAN,
115,598.0,PNG,
155,600.0,PRY,
132,604.0,PER,
112,608.0,PHL,
23,616.0,POL,-0.8370000000000001
44,620.0,PRT,-0.747
16,624.0,GNB,-0.935
143,626.0,TLS,-0.768
47,634.0,QAT,-0.616
11,642.0,ROU,-0.9279999999999999
185,643.0,RUS,
38,646.0,RWA,
10,659.0,KNA,-0.9790000000000001
59,662.0,LCA,-1.0070000000000001
146,670.0,VCT,-1.013
49,674.0,SMR,-0.615
111,678.0,STP,-0.8490000000000001
162,682.0,SAU,
184,686.0,SEN,-0.902
209,688.0,SRB,-0.978
1,690.0,SYC,
81,694.0,SLE,-1.005
168,702.0,SGP,-1.0979999999999999
142,703.0,SVK,-0.853
95,704.0,VNM,-1.025
8,705.0,SVN,-0.632
78,706.0,SOM,
208,710.0,ZAF,
35,716.0,ZWE,
39,724.0,ESP,-0.765
67,729.0,SDN,
32,740.0,SUR,
213,748.0,SWZ,
102,752.0,SWE,-0.97
144,756.0,CHE,-0.71
122,760.0,SYR,
133,762.0,TJK,-1.02
205,764.0,THA,-0.96
100,768.0,TGO,
137,776.0,TON,
152,780.0,TTO,-0.9990000000000001
175,784.0,ARE,-0.652
71,788.0,TUN,-0.608
80,792.0,TUR,
98,795.0,TKM,-0.961
161,800.0,UGA,
51,804.0,UKR,-1.001
124,807.0,MKD,-0.8
127,818.0,EGY,
27,826.0,GBR,-0.726
198,834.0,TZA,
0,840.0,USA,-0.64
159,854.0,BFA,
109,858.0,URY,
139,860.0,UZB,-0.9890000000000001
22,862.0,VEN,-0.9940000000000001
24,882.0,WSM,
73,887.0,YEM,
220,894.0,ZMB,
6,,REU,
7,,GGY,-0.667
19,,MAF,-0.975
20,,ABW,-0.922
26,,SPM,-1.307
28,,FRO,-0.609
29,,MNP,
33,,TCA,-0.8370000000000001
42,,ASM,
43,,GUM,
45,,CUW,-0.9309999999999999
55,,MYT,
58,,NCL,-0.752
60,,SGS,
61,,FLK,
62,,MSR,-0.9640000000000001
64,,PRI,-0.924
65,,BLM,-0.975
85,,PSE,-0.8340000000000001
104,,AIA,-0.975
105,,VGB,-0.958
119,,IMN,-0.483
125,,VIR,-0.948
128,,MAC,-1.046
148,,ESH,-0.873
150,,TWN,-0.9159999999999999
151,,CYM,-0.505
154,,NIU,
165,,JEY,-0.667
172,,GUF,-0.883
180,,HMD,
186,,SJM,
194,,HKG,-1.044
195,,PYF,
199,,MTQ,-0.9620000000000001
202,,ATF,
211,,ALA,-0.726
222,,SXM,-0.975
226,,GLP,-0.9640000000000001
